'Graph','Vertices','Edges','Edge Density','Heuristic','Exact'
'mulsol.i.1-pp.dgf','73','2188','0.832572298325723','2','2'
'mulsol.i.5-pp.dgf','119','2556','0.3640507050277738','2','2'
'munin1-pp-001.dgf','63','180','0.09216589861751152','6',''
'munin1-pp.dgf','66','188','0.08764568764568764','5',''
'munin1-wpp.dgf','90','220','0.05493133583021224','6',''
'munin2-pp.dgf','167','455','0.03282591443618787','6',''
'munin3-pp-003.dgf','79','265','0.08601103537812399','3',''
'munin3-pp.dgf','96','313','0.06864035087719299','4',''
'munin4-pp-005.dgf','55','156','0.10505050505050505','4',''
'munin4-pp-006.dgf','55','156','0.10505050505050505','4',''
'sodoku-elim1.dgf','80','898','0.28417721518987343','8',''
'zeroin.i.1-pp.dgf','54','1267','0.8853948287910552','1','1'
'zeroin.i.2-pp.dgf','57','1097','0.6873433583959899','2',''
'zeroin.i.3-pp.dgf','57','1097','0.6873433583959899','2',''
