Start time: 2017-10-31T11:00:36.147
'Graph','Vertices','Edges','Edge Density','Iterations','First Tie Breaker','Second Tie Breaker','MIM'
'1awd.dgf','89','1080','0.27579162410623087','10','First','First','7'
'1awd.dgf','89','1080','0.27579162410623087','10','First','Max Neighbours Degree','7'
'1awd.dgf','89','1080','0.27579162410623087','10','First','Min Neighbours Degree','7'
'1awd.dgf','89','1080','0.27579162410623087','10','First','Max Edges between Neighbours','7'
'1awd.dgf','89','1080','0.27579162410623087','10','First','Min Edges between Neighbours','7'
'1awd.dgf','89','1080','0.27579162410623087','10','Max Degree','First','8'
'1awd.dgf','89','1080','0.27579162410623087','10','Max Degree','Max Neighbours Degree','9'
'1awd.dgf','89','1080','0.27579162410623087','10','Max Degree','Min Neighbours Degree','7'
'1awd.dgf','89','1080','0.27579162410623087','10','Max Degree','Max Edges between Neighbours','9'
'1awd.dgf','89','1080','0.27579162410623087','10','Max Degree','Min Edges between Neighbours','8'
'1awd.dgf','89','1080','0.27579162410623087','10','Min Degree','First','7'
'1awd.dgf','89','1080','0.27579162410623087','10','Min Degree','Max Neighbours Degree','6'
'1awd.dgf','89','1080','0.27579162410623087','10','Min Degree','Min Neighbours Degree','8'
'1awd.dgf','89','1080','0.27579162410623087','10','Min Degree','Max Edges between Neighbours','7'
'1awd.dgf','89','1080','0.27579162410623087','10','Min Degree','Min Edges between Neighbours','7'
'1awd.dgf','89','1080','0.27579162410623087','50','First','First','7'
'1awd.dgf','89','1080','0.27579162410623087','50','First','Max Neighbours Degree','7'
'1awd.dgf','89','1080','0.27579162410623087','50','First','Min Neighbours Degree','7'
'1awd.dgf','89','1080','0.27579162410623087','50','First','Max Edges between Neighbours','7'
'1awd.dgf','89','1080','0.27579162410623087','50','First','Min Edges between Neighbours','7'
'1awd.dgf','89','1080','0.27579162410623087','50','Max Degree','First','8'
'1awd.dgf','89','1080','0.27579162410623087','50','Max Degree','Max Neighbours Degree','9'
'1awd.dgf','89','1080','0.27579162410623087','50','Max Degree','Min Neighbours Degree','8'
'1awd.dgf','89','1080','0.27579162410623087','50','Max Degree','Max Edges between Neighbours','9'
'1awd.dgf','89','1080','0.27579162410623087','50','Max Degree','Min Edges between Neighbours','8'
'1awd.dgf','89','1080','0.27579162410623087','50','Min Degree','First','8'
'1awd.dgf','89','1080','0.27579162410623087','50','Min Degree','Max Neighbours Degree','6'
'1awd.dgf','89','1080','0.27579162410623087','50','Min Degree','Min Neighbours Degree','8'
'1awd.dgf','89','1080','0.27579162410623087','50','Min Degree','Max Edges between Neighbours','6'
'1awd.dgf','89','1080','0.27579162410623087','50','Min Degree','Min Edges between Neighbours','7'
'1awd.dgf','89','1080','0.27579162410623087','100','First','First','7'
'1awd.dgf','89','1080','0.27579162410623087','100','First','Max Neighbours Degree','7'
'1awd.dgf','89','1080','0.27579162410623087','100','First','Min Neighbours Degree','7'
'1awd.dgf','89','1080','0.27579162410623087','100','First','Max Edges between Neighbours','7'
'1awd.dgf','89','1080','0.27579162410623087','100','First','Min Edges between Neighbours','7'
'1awd.dgf','89','1080','0.27579162410623087','100','Max Degree','First','8'
'1awd.dgf','89','1080','0.27579162410623087','100','Max Degree','Max Neighbours Degree','9'
'1awd.dgf','89','1080','0.27579162410623087','100','Max Degree','Min Neighbours Degree','8'
'1awd.dgf','89','1080','0.27579162410623087','100','Max Degree','Max Edges between Neighbours','9'
'1awd.dgf','89','1080','0.27579162410623087','100','Max Degree','Min Edges between Neighbours','8'
'1awd.dgf','89','1080','0.27579162410623087','100','Min Degree','First','8'
'1awd.dgf','89','1080','0.27579162410623087','100','Min Degree','Max Neighbours Degree','6'
'1awd.dgf','89','1080','0.27579162410623087','100','Min Degree','Min Neighbours Degree','8'
'1awd.dgf','89','1080','0.27579162410623087','100','Min Degree','Max Edges between Neighbours','6'
