"Graph";"Vertices";"Edges";"Edge Density";"Iterations";"First Tie Breaker";"Second Tie Breaker";"MIM"
"BN_28.dgf";"24";"49";"0.17753623188405798";"100";"First";"Min Edges between Neighbours";"2"
"BN_28.dgf";"24";"49";"0.17753623188405798";"100";"Max Degree";"First";"3"
"BN_28.dgf";"24";"49";"0.17753623188405798";"100";"Max Degree";"Max Neighbours Degree";"3"
"BN_28.dgf";"24";"49";"0.17753623188405798";"100";"Max Degree";"Min Neighbours Degree";"2"
"BN_28.dgf";"24";"49";"0.17753623188405798";"100";"Max Degree";"Max Edges between Neighbours";"3"
"BN_28.dgf";"24";"49";"0.17753623188405798";"100";"Max Degree";"Min Edges between Neighbours";"3"
"BN_28.dgf";"24";"49";"0.17753623188405798";"100";"Min Degree";"First";"2"
"BN_28.dgf";"24";"49";"0.17753623188405798";"100";"Min Degree";"Max Neighbours Degree";"2"
"BN_28.dgf";"24";"49";"0.17753623188405798";"100";"Min Degree";"Min Neighbours Degree";"2"
"BN_28.dgf";"24";"49";"0.17753623188405798";"100";"Min Degree";"Max Edges between Neighbours";"2"
"BN_28.dgf";"24";"49";"0.17753623188405798";"100";"Min Degree";"Min Edges between Neighbours";"2"
"miles1500.dgf";"128";"5198";"0.6395177165354331";"10";"First";"First";"3"
"miles1500.dgf";"128";"5198";"0.6395177165354331";"10";"First";"Max Neighbours Degree";"3"
"miles1500.dgf";"128";"5198";"0.6395177165354331";"10";"First";"Min Neighbours Degree";"3"
"miles1500.dgf";"128";"5198";"0.6395177165354331";"10";"First";"Max Edges between Neighbours";"3"
"miles1500.dgf";"128";"5198";"0.6395177165354331";"10";"First";"Min Edges between Neighbours";"3"
"miles1500.dgf";"128";"5198";"0.6395177165354331";"10";"Max Degree";"First";"1"
"miles1500.dgf";"128";"5198";"0.6395177165354331";"10";"Max Degree";"Max Neighbours Degree";"1"
"miles1500.dgf";"128";"5198";"0.6395177165354331";"10";"Max Degree";"Min Neighbours Degree";"1"
"miles1500.dgf";"128";"5198";"0.6395177165354331";"10";"Max Degree";"Max Edges between Neighbours";"1"
"miles1500.dgf";"128";"5198";"0.6395177165354331";"10";"Max Degree";"Min Edges between Neighbours";"1"
"miles1500.dgf";"128";"5198";"0.6395177165354331";"10";"Min Degree";"First";"2"
"miles1500.dgf";"128";"5198";"0.6395177165354331";"10";"Min Degree";"Max Neighbours Degree";"2"
"miles1500.dgf";"128";"5198";"0.6395177165354331";"10";"Min Degree";"Min Neighbours Degree";"2"
"miles1500.dgf";"128";"5198";"0.6395177165354331";"10";"Min Degree";"Max Edges between Neighbours";"2"
"miles1500.dgf";"128";"5198";"0.6395177165354331";"10";"Min Degree";"Min Edges between Neighbours";"2"
"miles1500.dgf";"128";"5198";"0.6395177165354331";"50";"First";"First";"3"
"miles1500.dgf";"128";"5198";"0.6395177165354331";"50";"First";"Max Neighbours Degree";"3"
"miles1500.dgf";"128";"5198";"0.6395177165354331";"50";"First";"Min Neighbours Degree";"3"
"miles1500.dgf";"128";"5198";"0.6395177165354331";"50";"First";"Max Edges between Neighbours";"3"
"miles1500.dgf";"128";"5198";"0.6395177165354331";"50";"First";"Min Edges between Neighbours";"3"
"miles1500.dgf";"128";"5198";"0.6395177165354331";"50";"Max Degree";"First";"1"
"miles1500.dgf";"128";"5198";"0.6395177165354331";"50";"Max Degree";"Max Neighbours Degree";"1"
"miles1500.dgf";"128";"5198";"0.6395177165354331";"50";"Max Degree";"Min Neighbours Degree";"1"
"miles1500.dgf";"128";"5198";"0.6395177165354331";"50";"Max Degree";"Max Edges between Neighbours";"1"
"miles1500.dgf";"128";"5198";"0.6395177165354331";"50";"Max Degree";"Min Edges between Neighbours";"1"
